,hpoID,Loss_cv1,Loss_cv2,Loss_cv3,Loss_cv4,Loss_cv5,Loss_cv_Avg
0,0.0,0.30626609921455383,0.40131133794784546,0.2181357741355896,0.3955044448375702,0.30297908186912537,0.3248393476009369
1,1.0,0.4885531961917877,0.31643083691596985,0.4631277322769165,0.5030263662338257,0.4052896201610565,0.43528555035591127
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,18.0,0.3384706974029541,0.3439197540283203,0.2584095001220703,0.4510999917984009,0.23042914271354675,0.32446581721305845
19,19.0,0.6488216519355774,0.6075089573860168,0.6184496879577637,0.5943661332130432,0.6180504560470581,0.6174393773078919
20,20.0,0.433074951171875,0.5745676159858704,0.5648790597915649,0.5215519070625305,0.45807498693466187,0.5104297041893006
21,21.0,0.6885226964950562,0.6766457557678223,0.6923201084136963,0.6831058263778687,0.7118585705757141,0.6904905915260315
22,22.0,0.31447044014930725,0.37591150403022766,0.30017367005348206,0.38662752509117126,0.40705427527427673,0.356847482919693
23,23.0,0.46958309412002563,0.5570166110992432,0.542843759059906,0.46297141909599304,0.5261088609695435,0.5117047488689422
24,24.0,0.6385607719421387,0.6059837341308594,0.6139987111091614,0.5514829158782959,0.5377609729766846,0.5895574212074279
25,25.0,0.37712350487709045,0.36909493803977966,0.28171148896217346,0.3651452362537384,0.33320939540863037,0.34525691270828246
26,26.0,0.6896892786026001,0.6782086491584778,0.7364792823791504,0.6868318915367126,0.6706362366676331,0.6923690676689148
27,27.0,0.2506452798843384,0.321729838848114,0.3645747900009155,0.3540482819080353,0.3970893919467926,0.33761751651763916
28,28.0,0.6443196535110474,0.5542016625404358,0.5683906078338623,0.5988659858703613,0.5608077049255371,0.5853171229362488
29,29.0,0.6952123045921326,0.6684311032295227,0.6891148686408997,0.6902021169662476,0.6925510764122009,0.6871022939682007
